"number","district","region","category_name","zap","np","pp","zak","mon","dpbg","max","zap_is_max","np_is_max","pp_is_max","zak_is_max","mon_is_max","dpbg_is_max","none_is_max","max_fcat_names","category_level"
101,4,24,"зелёная_зона",0.56,0.56,0.89,0.89,0.61,0.44,0.89,0,0,1,1,0,0,0,"pp+zak",1
104,4,25,"охраняемый_ландшафт",0.56,0.56,0.44,0.89,0.39,0.56,0.89,0,0,0,1,0,0,0,"zak",3
105,4,25,"природный_резерват",0.5,0.61,0.39,0.83,0.44,0.5,0.83,0,0,0,1,0,0,0,"zak",3
106,4,25,"историко-природный_комплекс_и_территория",0.72,0.61,0.39,0.61,0.56,0.5,0.72,1,0,0,0,0,0,0,"zap",3
107,4,25,"природный_культурно-мемориальный_парк",0.61,0.72,0.5,0.61,0.61,0.5,0.72,0,1,0,0,0,0,0,"np",2
108,4,25,"экологический_парк",0.5,0.61,0.72,0.72,0.39,0.33,0.72,0,0,1,1,0,0,0,"pp+zak",2
112,4,26,"территория_охраняемого_ландшафта",0.56,0.56,0.67,1,0.56,0.44,1,0,0,0,1,0,0,0,"zak",3
113,4,26,"охраняемый_объект_природного_комплекса_населённого_пункта",0.61,0.61,0.83,0.89,0.61,0.5,0.89,0,0,0,1,0,0,0,"zak",3
115,4,26,"природно-исторический_комплекс",0.67,0.67,0.44,0.67,0.56,0.56,0.67,0,0,0,0,0,0,1,"none",2
116,4,27,"охраняемый_природный_ландшафт",0.61,0.61,0.5,0.83,0.44,0.44,0.83,0,0,0,1,0,0,0,"zak",2
117,4,28,"эколого-рекреационная_зона",0.44,0.67,0.78,0.72,0.5,0.33,0.78,0,0,1,0,0,0,0,"pp",2
118,4,29,"особо_охраняемое_природное_урочище",0.56,0.56,0.67,0.89,0.67,0.44,0.89,0,0,0,1,0,0,0,"zak",2
119,4,29,"особо_охраняемый_природный_ландшафт",0.67,0.44,0.44,0.72,0.56,0.67,0.72,0,0,0,1,0,0,0,"zak",2
120,4,29,"особо_охраняемый_водный_объект",0.67,0.44,0.44,0.72,0.56,0.67,0.72,0,0,0,1,0,0,0,"zak",2
121,4,30,"эколого-рекреационная_зона",0.56,0.56,0.89,0.72,0.56,0.5,0.89,0,0,1,0,0,0,0,"pp",2
122,4,30,"экологический_парк",0.5,0.61,0.61,0.72,0.44,0.33,0.72,0,0,0,1,0,0,0,"zak",2
123,4,30,"ландшафтный_парк",0.56,0.67,0.67,0.61,0.67,0.44,0.67,0,0,0,0,0,0,1,"none",2
124,4,30,"природно-исторический_парк",0.44,0.67,0.56,0.61,0.56,0.44,0.67,0,0,0,0,0,0,1,"none",2
126,4,68,"охраняемая_зелёная_зона",0.61,0.61,0.94,0.72,0.56,0.5,0.94,0,0,1,0,0,0,0,"pp",2
127,4,68,"природный_рекреационный_комплекс",0.61,0.61,0.61,0.78,0.56,0.44,0.78,0,0,0,1,0,0,0,"zak",2
128,4,68,"памятник_живой_природы",0.72,0.5,0.5,0.72,0.61,0.67,0.72,1,0,0,1,0,0,0,"zap+zak",2
131,5,31,"природный_рекреационный_комплекс",0.39,0.61,0.72,0.78,0.56,0.33,0.78,0,0,0,1,0,0,0,"zak",2
134,5,31,"парк",0.56,0.78,0.44,0.56,0.5,0.56,0.78,0,1,0,0,0,0,0,"np",2
135,5,32,"охраняемый_природный_комплекс",0.56,0.67,0.44,0.78,0.56,0.44,0.78,0,0,0,1,0,0,0,"zak",1
136,5,32,"туристско-рекреационная_местность",0.44,0.56,0.78,0.78,0.44,0.39,0.78,0,0,1,1,0,0,0,"pp+zak",3
137,5,32,"природный_резерват",0.67,0.56,0.67,0.83,0.61,0.44,0.83,0,0,0,1,0,0,0,"zak",2
138,5,32,"природно-культурная_местность",0.44,0.67,0.44,0.72,0.61,0.44,0.72,0,0,0,1,0,0,0,"zak",2
139,5,32,"болотный_комплекс",0.67,0.56,0.44,0.78,0.5,0.61,0.78,0,0,0,1,0,0,0,"zak",2
140,5,32,"парк",0.61,0.72,0.83,0.78,0.5,0.5,0.83,0,0,1,0,0,0,0,"pp",2
141,5,33,"водно-болотное_угодье",0.72,0.39,0.72,0.89,0.67,0.61,0.89,0,0,0,1,0,0,0,"zak",1
142,5,33,"аллея",0.56,0.56,0.78,0.67,0.61,0.56,0.78,0,0,1,0,0,0,0,"pp",1
143,5,33,"городской_(поселковый)_парк_культуры_и_отдыха",0.61,0.61,0.94,0.72,0.56,0.5,0.94,0,0,1,0,0,0,0,"pp",2
144,5,33,"сквер",0.5,0.72,0.72,0.67,0.5,0.33,0.72,0,1,1,0,0,0,0,"np+pp",2
147,5,35,"экотуристическая_территория",0.5,0.61,0.83,0.78,0.5,0.44,0.83,0,0,1,0,0,0,0,"pp",3
148,5,35,"охраняемый_природный_комплекс",0.72,0.5,0.72,0.89,0.56,0.5,0.89,0,0,0,1,0,0,0,"zak",2
149,5,35,"охраняемый_парк",0.39,0.5,0.83,0.78,0.5,0.44,0.83,0,0,1,0,0,0,0,"pp",2
150,5,35,"загородный_парк",0.39,0.72,0.61,0.61,0.56,0.5,0.72,0,1,0,0,0,0,0,"np",2
151,5,70,"природно-рекреационная_территория",0.44,0.78,0.67,0.67,0.61,0.44,0.78,0,1,0,0,0,0,0,"np",3
152,5,71,"охраняемый_культурно-рекреационный_ландшафт",0.5,0.61,0.83,0.78,0.5,0.44,0.83,0,0,1,0,0,0,0,"pp",2
153,5,71,"охраняемая_природная_местность",0.61,0.5,0.5,0.72,0.72,0.61,0.72,0,0,0,1,1,0,0,"zak+mon",2
154,5,71,"охраняемый_природный_ландшафт",0.44,0.56,0.56,0.78,0.67,0.44,0.78,0,0,0,1,0,0,0,"zak",1
155,5,72,"охраняемый_природный_комплекс",0.61,0.39,0.61,0.89,0.61,0.56,0.89,0,0,0,1,0,0,0,"zak",1
156,5,72,"природный_резерват",0.56,0.33,0.56,0.83,0.67,0.56,0.83,0,0,0,1,0,0,0,"zak",1
157,5,72,"охраняемый_природный_ландшафт",0.5,0.72,0.61,0.72,0.67,0.5,0.72,0,1,0,1,0,0,0,"np+zak",2
158,5,73,"природный_комплекс",0.44,0.56,0.44,0.89,0.44,0.39,0.89,0,0,0,1,0,0,0,"zak",2
159,6,36,"историко-ландшафтный_комплекс",0.56,0.67,0.56,0.72,0.61,0.44,0.72,0,0,0,1,0,0,0,"zak",3
160,6,36,"охраняемый_природный_объект",0.56,0.44,0.56,0.78,0.61,0.56,0.78,0,0,0,1,0,0,0,"zak",2
162,6,37,"парк_культуры_и_отдыха_Ивановской_области",0.72,0.72,0.72,0.61,0.44,0.56,0.72,1,1,1,0,0,0,0,"zap+np+pp",1
163,6,37,"охраняемый_природный_комплекс",0.61,0.72,0.5,0.67,0.61,0.61,0.72,0,1,0,0,0,0,0,"np",2
164,6,37,"туристско-рекреационная_местность",0.5,0.61,0.72,0.78,0.44,0.44,0.78,0,0,0,1,0,0,0,"zak",2
165,6,38,"заповедный_участок",0.72,0.72,0.5,0.72,0.44,0.39,0.72,1,1,0,1,0,0,0,"zap+np+zak",2
